node	description	type	module	module_descr	pathway	pathway_descr	node_type
C00123	L-Leucine	Peptides	NA	NA	NA	NA	compound
C00233	4-Methyl-2-oxopentanoate	Organic acids	NA	NA	NA	NA	compound
R01092	ATP:alpha-D-galactose 1-phosphotransferase	NA	M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	map01100	Metabolic pathways	reaction
C00446	alpha-D-Galactose 1-phosphate	NA	NA	NA	NA	NA	compound
C00984	alpha-D-Galactose	NA	NA	NA	NA	NA	compound
R01093	galactitol:NAD+ 1-oxidoreductase	NA	NA	NA	map01100	Metabolic pathways	reaction
C01697	Galactitol	NA	NA	NA	NA	NA	compound
R01094	D-galactose:NAD+ 1-oxidoreductase	NA	NA	NA	map01100	Metabolic pathways	reaction
C03383	D-Galactono-1,4-lactone	NA	NA	NA	NA	NA	compound
R01095	galactitol:NADP+ 1-oxidoreductase	NA	NA	NA	map01100	Metabolic pathways	reaction
R01096	D-galactose:NADP+ 1-oxidoreductase	NA	NA	NA	map00052	Galactose metabolism	reaction
C02669	D-Galactono-1,5-lactone	NA	NA	NA	NA	NA	compound
R01097	D-Galactose:NADP+ 1-oxidoreductase	NA	NA	NA	map01100	Metabolic pathways	reaction
R01098	D-Galactose:oxygen 6-oxidoreductase	NA	NA	NA	map00052	Galactose metabolism	reaction
C00880	D-Galactonate	NA	NA	NA	NA	NA	compound
R03948	S-adenosyl-L-methionine:precorrin-4 C20-methyltransferase	NA	NA	NA	map01100	Metabolic pathways	reaction
C02463	Precorrin 2	NA	NA	NA	NA	NA	compound
C05772	Precorrin 3A	NA	NA	NA	NA	NA	compound
R03942	L-rhamnofuranose:NAD+ 1-oxidoreductase	NA	NA	NA	map01120	Microbial metabolism in diverse environments	reaction
C02431	L-Rhamnofuranose	NA	NA	NA	NA	NA	compound
R03945	Perillyl-alcohol:NAD+ oxidoreductase	NA	NA	NA	map00903	Limonene and pinene degradation	reaction
C02452	Perillyl alcohol	NA	NA	NA	NA	NA	compound
R04666	(R)-3-ureidoisobutyrate amidohydrolase	NA	M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	map01100	Metabolic pathways	reaction
C01205	(R)-3-Amino-2-methylpropanoate	NA	NA	NA	NA	NA	compound
C21029	(R)-3-Ureidoisobutyrate	NA	NA	NA	NA	NA	compound
R03947	S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase	NA	M00846	Siroheme biosynthesis, glutamate => siroheme	map01100	Metabolic pathways	reaction
R05397	3,6-Dichloro-cis-1,2-dihydroxycyclohexa-3,5-diene + NAD+ <=> 3,6-Dichlorocatechol + NADH + H+	NA	NA	NA	map01100	Metabolic pathways	reaction
C07093	3,6-Dichloro-cis-1,2-dihydroxycyclohexa-3,5-diene	NA	NA	NA	NA	NA	compound
R10158	1-deoxypentalenate,reduced ferredoxin:oxygen oxidoreductase	NA	NA	NA	map00999	Biosynthesis of secondary metabolites - unclassified	reaction
C20404	1-Deoxypentalenate	NA	NA	NA	NA	NA	compound
C20405	Pentalenate	NA	NA	NA	NA	NA	compound
R09631	acetyl-CoA:(3Z)-hex-3-en-1-ol acetyltransferase	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C08492	3-Hexenol	NA	NA	NA	NA	NA	compound
C19757	(Z)-3-Hexen-1-ol acetate	NA	NA	NA	NA	NA	compound
R05390	3-Chloro-cis,cis-muconate <=> Protoanemonin + Hydrochloric acid + CO2	NA	NA	NA	map01120	Microbial metabolism in diverse environments	reaction
C07090	Protoanemonin	NA	NA	NA	NA	NA	compound
R10152	sulfide:quinone oxidoreductase	NA	NA	NA	map00920	Sulfur metabolism	reaction
C19692	Polysulfide	NA	NA	NA	NA	NA	compound
R10151	Thiosulfate + 5 H2O + 8 Ferricytochrome c <=> 2 Sulfate + 8 Ferrocytochrome c + 10 H+	NA	M00595	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	map01100	Metabolic pathways	reaction
R10157	1-deoxypentalenic acid,2-oxoglutarate:oxygen oxidoreductase	NA	M00819	Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone	map01130	Biosynthesis of antibiotics	reaction
C20403	1-Deoxy-11beta-hydroxypentalenate	NA	NA	NA	NA	NA	compound
R10156	1-deoxy-11beta-hydroxypentalenate:NAD+ oxidoreductase	NA	M00819	Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone	map01130	Biosynthesis of antibiotics	reaction
R10154	1-deoxy-11-oxopentalenate,NADH:oxygen oxidoreductase (pentalenolactone-D forming)	NA	M00819	Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone	map01130	Biosynthesis of antibiotics	reaction
C20399	Pentalenolactone D	NA	NA	NA	NA	NA	compound
R11201	(9Z)-hexadec-9-enoyl-CoA:[Wnt]-L-serine O-hexadecenoyltransferase	NA	NA	NA	NA	NA	reaction
C21072	Palmitoleoyl-CoA	NA	NA	NA	NA	NA	compound
R04448	ATP:4-methyl-5-(2-hydroxyethyl)-thiazole 2-phosphotransferase	NA	M00127	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P	map01100	Metabolic pathways	reaction
C04327	4-Methyl-5-(2-phosphooxyethyl)thiazole	NA	NA	NA	NA	NA	compound
R04449	acetate:holo-[citrate-(pro-3S)-lyase] ligase (AMP-forming)	NA	NA	NA	NA	NA	reaction
C04298	Holo-[citrate (pro-3S)-lyase]	NA	NA	NA	NA	NA	compound
C04334	Acetyl-[citrate (pro-3S)-lyase]	NA	NA	NA	NA	NA	compound
R11483	4'-O-methylnorbelladine,NADPH---hemoprotein reductase:oxygen oxidoreductase (noroxomaritidine-forming)	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C16702	4'-O-Methylnorbelladine	NA	NA	NA	NA	NA	compound
C21406	(4aR,10bS)-Noroxomaritidine	NA	NA	NA	NA	NA	compound
R07025	1-nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene glutathione-lyase (epoxide-forming)	NA	NA	NA	map00980	Metabolism of xenobiotics by cytochrome P450	reaction
C14800	1-Nitronaphthalene-5,6-oxide	NA	NA	NA	NA	NA	compound
C14805	1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene	NA	NA	NA	NA	NA	compound
R01996	UDP-N-acetyl-D-glucosamine:lipopolysaccharide N-acetylglucosaminyltransferase	NA	NA	NA	map00540	Lipopolysaccharide biosynthesis	reaction
C00338	Lipopolysaccharide	NA	NA	NA	NA	NA	compound
C04539	N-Acetyl-D-glucosaminyllipopolysaccharide	NA	NA	NA	NA	NA	compound
R07024	1-nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene glutathione-lyase (epoxide-forming)	NA	NA	NA	map00980	Metabolism of xenobiotics by cytochrome P450	reaction
C14804	1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene	NA	NA	NA	NA	NA	compound
R11932	4-hydroxy-L-tryptophan carboxy-lyase	NA	NA	NA	map00901	Indole alkaloid biosynthesis	reaction
C21762	4-Hydroxytryptamine	NA	NA	NA	NA	NA	compound
C21777	4-Hydroxy-L-tryptophan	NA	NA	NA	NA	NA	compound
R02723	Cholesterol + Oxygen + 2 Reduced adrenal ferredoxin + 2 H+ <=> 22(R)-Hydroxycholesterol + H2O + 2 Oxidized adrenal ferredoxin	NA	M00107	Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone	map01100	Metabolic pathways	reaction
C05502	22(R)-Hydroxycholesterol	NA	NA	NA	NA	NA	compound
R02722	L-serine hydro-lyase [adding 1-C-(indol-3-yl)glycerol 3-phosphate	NA	M00023	Tryptophan biosynthesis, chorismate => tryptophan	map01100	Metabolic pathways	reaction
R02720	XTP pyrophosphohydrolase	NA	NA	NA	map00230	Purine metabolism	reaction
C00700	XTP	NA	NA	NA	NA	NA	compound
R02727	alpha,alpha-Trehalose:orthophosphate beta-D-glucosyltransferase	NA	NA	NA	map01100	Metabolic pathways	reaction
R02725	Androstenedione,reduced-adrenal-ferredoxin:oxygen oxidoreductase (11-hydroxylating)	NA	NA	NA	map00140	Steroid hormone biosynthesis	reaction
R02728	beta-D-Glucose 1-phosphate 1,6-phosphomutase	NA	NA	NA	NA	NA	reaction
R00378	deoxythymidine triphosphate:DNA deoxynucleotidyltransferase (DNA-directed)	NA	NA	NA	map01100	Metabolic pathways	reaction
C00039	DNA	NA	NA	NA	NA	NA	compound
C00459	dTTP	Nucleic acids	NA	NA	NA	NA	compound
R00376	Deoxyguanosine 5'-triphosphate:DNA deoxynucleotidyltransferase (DNA-directed)	NA	NA	NA	map01100	Metabolic pathways	reaction
R00377	Deoxycytidine triphosphate:DNA deoxynucleotidyltransferase (DNA-directed)	NA	NA	NA	map01100	Metabolic pathways	reaction
R00374	glycine:acceptor oxidoreductase (cyanide-forming)	NA	NA	NA	NA	NA	reaction
R00375	Deoxyadenosine 5'-triphosphate:DNA deoxynucleotidyltransferase (DNA-directed)	NA	NA	NA	map01100	Metabolic pathways	reaction
R00372	Glycine:2-oxoglutarate aminotransferase	NA	M00532	Photorespiration	map01100	Metabolic pathways	reaction
R00371	Acetyl-CoA:glycine C-acetyltransferase	NA	NA	NA	map00260	Glycine, serine and threonine metabolism	reaction
R08149	juvenile hormone III acylhydrolase	NA	NA	NA	map00981	Insect hormone biosynthesis	reaction
R08148	methyl (2E,6E)-farnesoate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase	NA	NA	NA	map00981	Insect hormone biosynthesis	reaction
C16503	Methyl farnesoate	NA	NA	NA	NA	NA	compound
R08144	farnesyl-diphosphate phosphohydrolase	NA	NA	NA	map00981	Insect hormone biosynthesis	reaction
C01126	(2E,6E)-Farnesol	NA	NA	NA	NA	NA	compound
R08147	S-adenosyl-L-methionine:(2E,6E)-farnesoate O-methyltransferase	NA	NA	NA	map00981	Insect hormone biosynthesis	reaction
C16502	Farnesoic acid	NA	NA	NA	NA	NA	compound
R08146	farnesal:NAD+ oxidoreductase	NA	NA	NA	map00981	Insect hormone biosynthesis	reaction
C03461	2-trans,6-trans-Farnesal	NA	NA	NA	NA	NA	compound
R11931	CoB,CoM:ferredoxin oxidoreductase	NA	M00567	Methanogenesis, CO2 => methane	map01100	Metabolic pathways	reaction
R11934	S-adenosyl-L-methionine:norbaeocystin N,N-dimethyltransferase	NA	NA	NA	NA	NA	reaction
C07576	Psilocybin	NA	NA	NA	NA	NA	compound
C21778	Norbaeocystin	NA	NA	NA	NA	NA	compound
R07809	G13074 + H2O <=> G01391 + N-Acetyl-D-glucosamine	NA	M00079	Keratan sulfate degradation	map01100	Metabolic pathways	reaction
R07808	N-acetyl-D-glucosamine-6-sulfate 6-sulfohydrolase	NA	M00079	Keratan sulfate degradation	map01100	Metabolic pathways	reaction
R07801	2,3-Dihydroxy-2'-carboxybiphenyl + Oxygen <=> 2-Hydroxy-6-oxo-6-(2-carboxyphenyl)-hexa-2,4-dienoate	NA	NA	NA	map01100	Metabolic pathways	reaction
C16263	2,3-Dihydroxy-2'-carboxybiphenyl	NA	NA	NA	NA	NA	compound
C16264	2-Hydroxy-6-oxo-6-(2-carboxyphenyl)-hexa-2,4-dienoate	NA	NA	NA	NA	NA	compound
R07800	1-Hydro-1,1a-dihydroxy-9-fluorenone + H2O <=> 2,3-Dihydroxy-2'-carboxybiphenyl + 2 H+	NA	NA	NA	map01100	Metabolic pathways	reaction
C16262	1-Hydro-1,1a-dihydroxy-9-fluorenone	NA	NA	NA	NA	NA	compound
R07802	2-Hydroxy-6-oxo-6-(2-carboxyphenyl)-hexa-2,4-dienoate + H2O <=> Phthalate + 2-Hydroxy-2,4-pentadienoate	NA	NA	NA	map01100	Metabolic pathways	reaction
R07807	G01977 + H2O <=> G13073 + D-Galactose	NA	M00079	Keratan sulfate degradation	map01100	Metabolic pathways	reaction
R07806	N-acetyl-D-galactosamine 6-sulfate 6-sulfohydrolase	NA	M00079	Keratan sulfate degradation	map01100	Metabolic pathways	reaction
R03139	primary-amine oxidase	NA	NA	NA	map00410	beta-Alanine metabolism	reaction
R03130	S-Adenosyl-L-homocysteine:N-acetylserotonin O-methyltransferase	NA	M00037	Melatonin biosynthesis, tryptophan => serotonin => melatonin	map01100	Metabolic pathways	reaction
C01598	Melatonin	Hormones and transmitters	NA	NA	NA	NA	compound
R03132	O-acetyl-L-serine:thiosulfate 2-amino-2-carboxyethyltransferase	NA	NA	NA	map01100	Metabolic pathways	reaction
C05824	S-Sulfo-L-cysteine	NA	NA	NA	NA	NA	compound
R03136	Polyvinyl-alcohol:(acceptor) oxidoreductase	NA	NA	NA	NA	NA	reaction
C00980	Polyvinyl alcohol	NA	NA	NA	NA	NA	compound
C01166	Oxidized polyvinyl alcohol	NA	NA	NA	NA	NA	compound
R01151	Putrescine:oxygen oxidoreductase (deaminating)	NA	NA	NA	map01100	Metabolic pathways	reaction
R01150	D-alanine:D-alanine ligase (ADP-forming)	NA	NA	NA	map01100	Metabolic pathways	reaction
C00993	D-Alanyl-D-alanine	Peptides	NA	NA	NA	NA	compound
R01401	methylthioadenosine methylthioribohydrolase	NA	M00034	Methionine salvage pathway	map01100	Metabolic pathways	reaction
R01152	N-Carbamoylputrescine amidohydrolase	NA	NA	NA	map01100	Metabolic pathways	reaction
C00436	N-Carbamoylputrescine	NA	NA	NA	NA	NA	compound
R01406	long-chain-fatty-acid:[acyl-carrier-protein] ligase (AMP-forming)	NA	NA	NA	map00071	Fatty acid degradation	reaction
C20683	Long-chain acyl-[acyl-carrier protein]	NA	NA	NA	NA	NA	compound
R01157	Agmatine amidinohydrolase	NA	M00133	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	map01100	Metabolic pathways	reaction
R01158	L-histidinol:NAD+ oxidoreductase	NA	NA	NA	map01230	Biosynthesis of amino acids	reaction
C00860	L-Histidinol	NA	NA	NA	NA	NA	compound
R01409	Cyanohydrin aldehyde-lyase (cyanide-forming)	NA	NA	NA	NA	NA	reaction
R01408	formamide hydro-lyase (cyanide-forming)	NA	NA	NA	map00460	Cyanoamino acid metabolism	reaction
C00488	Formamide	NA	NA	NA	NA	NA	compound
R09450	long-chain fatty-acyl-CoA hydrolase	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
R10834	UDP-alpha-D-glucose:7-deoxyloganetate O-D-glucosyltransferase	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C11636	7-Deoxyloganate	NA	NA	NA	NA	NA	compound
R09849	CTP:2-trans,6-trans-farnesol O-phosphotransferase	NA	NA	NA	map01130	Biosynthesis of antibiotics	reaction
C20121	trans,trans-Farnesyl phosphate	NA	NA	NA	NA	NA	compound
R10835	UDP-alpha-D-glucose:7-deoxyloganetin O-D-glucosyltransferase	NA	NA	NA	map01100	Metabolic pathways	reaction
C06071	Deoxyloganin	NA	NA	NA	NA	NA	compound
C20790	7-Deoxyloganetin	NA	NA	NA	NA	NA	compound
R09843	CTP:pseudaminate cytidylyltransferase	NA	NA	NA	map00520	Amino sugar and nucleotide sugar metabolism	reaction
C20082	Pseudaminic acid	NA	NA	NA	NA	NA	compound
C20083	CMP-pseudaminic acid	NA	NA	NA	NA	NA	compound
R09842	acetyl-CoA:UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine 4-N-acetyltransferase	NA	NA	NA	map00520	Amino sugar and nucleotide sugar metabolism	reaction
C19961	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine	NA	NA	NA	NA	NA	compound
C19971	UDP-2,4-bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose	NA	NA	NA	NA	NA	compound
R09841	phosphoenolpyruvate:2,4-bis(acetylamino)-2,4,6-trideoxy-beta-L-altropyranose transferase (phosphate-hydrolysing, 2,7-acetylamino-transfering, 2-carboxy-2-oxoethyl-forming)	NA	NA	NA	map00520	Amino sugar and nucleotide sugar metabolism	reaction
C19972	2,4-Bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose	NA	NA	NA	NA	NA	compound
R09840	Phenylacetyl-CoA + H2O <=> Phenylacetic acid + CoA	NA	NA	NA	map00360	Phenylalanine metabolism	reaction
R09846	prenylcycteine methylesterase	NA	NA	NA	map01130	Biosynthesis of antibiotics	reaction
C04506	Protein C-terminal S-farnesyl-L-cysteine	NA	NA	NA	NA	NA	compound
C04748	Protein C-terminal S-farnesyl-L-cysteine methyl ester	NA	NA	NA	NA	NA	compound
R09845	CAAX protease	NA	NA	NA	map01130	Biosynthesis of antibiotics	reaction
C00012	Peptide	NA	NA	NA	NA	NA	compound
C20120	S-Farnesyl protein	NA	NA	NA	NA	NA	compound
R09844	farnesyl-diphosphate:protein-cysteine farnesyltransferase	NA	NA	NA	map01130	Biosynthesis of antibiotics	reaction
C20119	Protein-cysteine	NA	NA	NA	NA	NA	compound
R07043	15(S)-HPETE <=> 11H-14,15-EETA	NA	NA	NA	map01100	Metabolic pathways	reaction
C14813	11H-14,15-EETA	NA	NA	NA	NA	NA	compound
R10837	CMP:phosphate (5-phospho-alpha-D-ribosyl)transferase	NA	NA	NA	NA	NA	reaction
R10830	beta-D-glucuronoside glucuronosohydrolase	NA	NA	NA	map00531	Glycosaminoglycan degradation	reaction
R10343	succinyl-CoA:acetate CoA-transferase	NA	M00009	Citrate cycle (TCA cycle, Krebs cycle)	map01100	Metabolic pathways	reaction
R10832	4-O-beta-D-glucopyranosyl-D-gluconate:phosphate alpha-D-glucosyltransferase	NA	NA	NA	NA	NA	reaction
C20888	Cellobionate	NA	NA	NA	NA	NA	compound
R11298	antibiotic-JI-20Ba:2-oxoglutarate aminotransferase	NA	NA	NA	map01130	Biosynthesis of antibiotics	reaction
C21268	6'-Oxo-G418	NA	NA	NA	NA	NA	compound
C21269	Antibiotic JI-20Ba	NA	NA	NA	NA	NA	compound
R07042	15(S)-HPETE <=> 15H-11,12-EETA	NA	NA	NA	map01100	Metabolic pathways	reaction
C14781	15H-11,12-EETA	NA	NA	NA	NA	NA	compound
R11297	antibiotic-JI-20A:2-oxoglutarate aminotransferase	NA	NA	NA	map01130	Biosynthesis of antibiotics	reaction
C17704	Antibiotic JI-20A	NA	NA	NA	NA	NA	compound
R05097	(gibberellin-44),2-oxoglutarate:oxygen oxidoreductase	NA	NA	NA	map00904	Diterpenoid biosynthesis	reaction
C06094	Gibberellin A53	NA	NA	NA	NA	NA	compound
R05092	ent-copalyl-diphosphate diphosphate-lyase	NA	NA	NA	map01100	Metabolic pathways	reaction
C06090	ent-Kaurene	NA	NA	NA	NA	NA	compound
R11296	Antibiotic G-418 + FAD <=> 6'-Oxo-G418 + FADH2	NA	NA	NA	map01130	Biosynthesis of antibiotics	reaction
C17703	Antibiotic G-418	NA	NA	NA	NA	NA	compound
R05099	6-oxohexanoate:NADP+ oxidoreductase	NA	NA	NA	map01100	Metabolic pathways	reaction
C06104	Adipate	Organic acids	NA	NA	NA	NA	compound
R04881	S-Adenosyl-L-methionine:catechol O-methyltransferase	NA	NA	NA	map01100	Metabolic pathways	reaction
C05594	3-Methoxy-4-hydroxyphenylethyleneglycol	NA	NA	NA	NA	NA	compound
R11294	S-adenosyl-L-methionine:methylcob(III)alamin:gentamicin-X2 methyltransferase	NA	NA	NA	map01130	Biosynthesis of antibiotics	reaction
R04882	3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase	NA	NA	NA	map01100	Metabolic pathways	reaction
R02932	UDP-glucose:isoflavone 7-O-beta-D-glucosyltransferase	NA	NA	NA	map00943	Isoflavonoid biosynthesis	reaction
C06563	Genistein	NA	NA	NA	NA	NA	compound
C09126	Genistein 7-O-beta-D-glucoside	NA	NA	NA	NA	NA	compound
R11520	S-adenosyl-L-methionine:4-amino-anhydrotetracycline N-methyltransferase	NA	NA	NA	NA	NA	reaction
C06654	4-Amino-anhydrotetracycline	NA	NA	NA	NA	NA	compound
R02266	(5Z,13E)-(15S)-9alpha,11alpha-epidioxy-15-hydroxyprosta-5,13- dienoate D-isomerase	NA	NA	NA	map01100	Metabolic pathways	reaction
C00696	Prostaglandin D2	Lipids	NA	NA	NA	NA	compound
R02267	(5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13- dienoate 6-isomerase	NA	NA	NA	map01100	Metabolic pathways	reaction
C01312	Prostaglandin I2	Lipids	NA	NA	NA	NA	compound
R02262	L-Fuculose-1-phosphate lactaldehyde-lyase	NA	NA	NA	map01120	Microbial metabolism in diverse environments	reaction
C01099	L-Fuculose 1-phosphate	NA	NA	NA	NA	NA	compound
R02260	(S)-lactaldehyde:NADP+ oxidoreductase	NA	NA	NA	map00620	Pyruvate metabolism	reaction
R02261	2-dehydro-3-deoxy-L-rhamnonate (S)-lactaldehyde lyase (pyruvate-forming)	NA	NA	NA	map01120	Microbial metabolism in diverse environments	reaction
R11522	Fe-coproporphyrin III + 2 Hydrogen peroxide <=> Heme + 2 CO2 + 4 H2O	NA	NA	NA	map01100	Metabolic pathways	reaction
R02268	(5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-thromboxane-A2-isomerase	NA	NA	NA	map01100	Metabolic pathways	reaction
C02198	Thromboxane A2	Lipids	NA	NA	NA	NA	compound
R02269	5,6-Dihydrouracil amidohydrolase	NA	M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	map01100	Metabolic pathways	reaction
C00429	5,6-Dihydrouracil	NA	NA	NA	NA	NA	compound
R03409	guanosine 3'-diphosphate 5'-triphosphate 5'-phosphohydrolase	NA	NA	NA	map00230	Purine metabolism	reaction
C01228	Guanosine 3',5'-bis(diphosphate)	NA	NA	NA	NA	NA	compound
R10520	D-glucose-6-phosphate:NAD+ 1-oxidoreductase	NA	NA	NA	NA	NA	reaction
C01236	D-Glucono-1,5-lactone 6-phosphate	NA	NA	NA	NA	NA	compound
R04368	m7G5'ppp5'X m7GMP phosphohydrolase	NA	NA	NA	NA	NA	reaction
C03998	7-Methylguanosine 5'-phosphate	NA	NA	NA	NA	NA	compound
C04696	7-Methylguanosine 5'-triphospho-5'-oligonucleotide	NA	NA	NA	NA	NA	compound
C16669	Oligonucleotide 5'-diphosphate	NA	NA	NA	NA	NA	compound
R10528	(R)-2-hydroxycarboxylate:NADP+ oxidoreductase	NA	NA	NA	NA	NA	reaction
C02489	(R)-2-Hydroxyacid	NA	NA	NA	NA	NA	compound
R05270	6-deoxyerythronolide-B,reduced ferredoxin:oxygen oxidoreductase	NA	M00774	Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B	map01130	Biosynthesis of antibiotics	reaction
C03240	6-Deoxyerythronolide B	NA	NA	NA	NA	NA	compound
R05271	4-(hydroxymethyl)benzenesulfonate:NAD+ oxidoreductase	NA	NA	NA	map01120	Microbial metabolism in diverse environments	reaction
C06679	4-Sulfobenzaldehyde	NA	NA	NA	NA	NA	compound
R05272	4-formylbenzenesulfonate:NAD+ oxidoreductase	NA	NA	NA	map01120	Microbial metabolism in diverse environments	reaction
C02236	4-Sulfobenzoate	NA	NA	NA	NA	NA	compound
R05274	vanillate:oxygen oxidoreductase (demethylating)	NA	NA	NA	map01120	Microbial metabolism in diverse environments	reaction
R05275	cis-4,5-dihydroxycyclohexa-1(6),2-diene-1,2-dicarboxylate:NAD+ oxidoreductase	NA	M00623	Phthalate degradation, phthalate => protocatechuate	map01100	Metabolic pathways	reaction
R11873	4-Hydroxybenzoyl-adenylate + Acyl-carrier protein <=> AMP + 4-Hydroxybenzoyl-[acp]	NA	NA	NA	NA	NA	reaction
C21497	4-Hydroxybenzoyl-adenylate	NA	NA	NA	NA	NA	compound
C21505	4-Hydroxybenzoyl-[acp]	NA	NA	NA	NA	NA	compound
C01226	12-OPDA	NA	NA	NA	NA	NA	compound
R03402	(9Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoate isomerase	NA	M00113	Jasmonic acid biosynthesis	map01100	Metabolic pathways	reaction
R03405	3'-phosphoadenylylsulfate:alcohol sulfotransferase	NA	NA	NA	map00140	Steroid hormone biosynthesis	reaction
C04555	Dehydroepiandrosterone sulfate	Hormones and transmitters	NA	NA	NA	NA	compound
R05579	glutaryl-CoA:(acceptor) 2,3-oxidoreductase (non-decarboxylating)	NA	NA	NA	map01120	Microbial metabolism in diverse environments	reaction
C02411	Glutaconyl-1-CoA	NA	NA	NA	NA	NA	compound
R03404	3beta-Hydroxyandrost-5-en-17-one 3-sulfate sulfohydrolase	NA	NA	NA	map00140	Steroid hormone biosynthesis	reaction
R09159	Benzo[a]pyrene + Oxygen + NADH + H+ <=> Benzo[a]pyrene-cis-9,10-dihydrodiol + NAD+	NA	NA	NA	map01120	Microbial metabolism in diverse environments	reaction
C18276	Benzo[a]pyrene-cis-9,10-dihydrodiol	NA	NA	NA	NA	NA	compound
R09559	(2S)-2-amino-4-deoxychorismate:FMN oxidoreductase	NA	M00826	C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA	map01130	Biosynthesis of antibiotics	reaction
C19686	3-(1-Carboxyvinyloxy)anthranilate	NA	NA	NA	NA	NA	compound
R05604	D-arabinitol:NAD 4-oxidoreductase	NA	NA	NA	map01100	Metabolic pathways	reaction
R09151	trichloroethene,NADH:oxygen oxidoreductase (glyoxylate-forming)	NA	NA	NA	map00625	Chloroalkane and chloroalkene degradation	reaction
R09152	trichloroethene,NADH:oxygen oxidoreductase (formate-forming)	NA	NA	NA	map01120	Microbial metabolism in diverse environments	reaction
R05607	D-sorbitol-6-phosphate:NAD 2-oxidoreductase	NA	NA	NA	map00051	Fructose and mannose metabolism	reaction
R09581	N,N-Dihydroxy-L-phenylalanine <=> (E)-Phenylacetaldoxime + CO2 + H2O	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C19715	N,N-Dihydroxy-L-phenylalanine	NA	NA	NA	NA	NA	compound
R05600	Cyclohex-1-ene-1-carboxyl-CoA + H2O <=> 2-Hydroxycyclohexane-1-carboxyl-CoA	NA	M00540	Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA	map01120	Microbial metabolism in diverse environments	reaction
C20299	Papaveroxine	NA	NA	NA	NA	NA	compound
R11693	3-O-Acetylpapaveroxine <=> Papaveroxine	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C21591	3-O-Acetylpapaveroxine	NA	NA	NA	NA	NA	compound
R11690	(13S,14R)-1-Hydroxy-13-O-acetyl-N-methylcanadine <=> (13S,14R)-1,8-Dihydroxy-13-O-acetyl-N-methylcanadine	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C21589	(13S,14R)-1,8-Dihydroxy-13-O-acetyl-N-methylcanadine	NA	NA	NA	NA	NA	compound
R11697	S-adenosyl-L-methionine:3-(aminomethyl)indole N-methyltransferase (gramine-forming)	NA	NA	NA	NA	NA	reaction
C21601	3-(Aminomethyl)indole	NA	NA	NA	NA	NA	compound
R11696	narcotoline hemiacetal:NAD+ oxidoreductase	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C09593	Narcotoline	NA	NA	NA	NA	NA	compound
C21600	Narcotoline hemiacetal	NA	NA	NA	NA	NA	compound
C21590	4'-O-Desmethyl-3-O-acetylpapaveroxine	NA	NA	NA	NA	NA	compound
R11694	4'-O-Desmethyl-3-O-acetylpapaveroxine <=> 4'-O-Desmethylpapaveroxine	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C21599	4'-O-Desmethylpapaveroxine	NA	NA	NA	NA	NA	compound
R07202	abscisate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (8'-hydroxylating)	NA	NA	NA	map00906	Carotenoid biosynthesis	reaction
C15514	8'-Hydroxyabscisate	NA	NA	NA	NA	NA	compound
